year_month,n_comments,airway_fear,treatment_failure,emotional_distress,misinformation_any
2010-09-01,1,0.0,0.0,0.0,0.0
2012-05-01,2,0.0,0.5,0.0,0.5
2013-04-01,1,0.0,0.0,0.0,0.0
2013-07-01,1,0.0,0.0,0.0,1.0
2014-08-01,1,0.0,0.0,0.0,0.0
2014-10-01,1,0.0,0.0,0.0,0.0
2015-05-01,1,0.0,0.0,0.0,0.0
2016-05-01,2,0.0,0.0,0.0,0.5
2016-08-01,1,0.0,0.0,0.0,0.0
2016-11-01,2,0.5,0.0,0.5,0.0
2016-12-01,1,0.0,0.0,0.0,0.0
2017-01-01,1,0.0,0.0,0.0,0.0
2017-02-01,2,0.0,0.0,0.0,0.0
2017-03-01,2,0.0,0.0,0.0,0.0
2017-04-01,5,0.2,0.0,0.0,0.0
2017-05-01,4,0.0,0.0,0.25,0.0
2017-07-01,2,0.0,0.0,0.0,0.0
2017-08-01,1,0.0,0.0,0.0,0.0
2017-10-01,2,0.5,0.0,0.0,0.0
2017-11-01,1,0.0,0.0,0.0,0.0
2017-12-01,2,0.0,0.0,0.0,0.0
2018-01-01,2,0.5,0.0,0.0,0.0
2018-03-01,6,0.0,0.0,0.0,0.0
2018-04-01,2,0.5,0.0,0.0,0.0
2018-05-01,3,0.0,0.0,0.0,0.0
2018-07-01,2,0.0,0.0,0.0,0.0
2018-08-01,1,0.0,0.0,0.0,0.0
2018-09-01,2,0.0,0.0,0.5,0.0
2018-10-01,110,0.01818181818181818,0.03636363636363636,0.045454545454545456,0.00909090909090909
2018-11-01,6,0.0,0.16666666666666666,0.0,0.0
2018-12-01,2,0.0,0.0,0.0,0.0
2019-01-01,1,0.0,0.0,0.0,0.0
2019-02-01,10,0.1,0.1,0.0,0.0
2019-03-01,13,0.0,0.0,0.23076923076923078,0.0
2019-04-01,12,0.0,0.0,0.08333333333333333,0.08333333333333333
2019-05-01,6,0.16666666666666666,0.0,0.16666666666666666,0.0
2019-06-01,6,0.16666666666666666,0.0,0.16666666666666666,0.0
2019-07-01,8,0.125,0.125,0.125,0.0
2019-08-01,5,0.0,0.2,0.2,0.0
2019-09-01,16,0.0625,0.0,0.0,0.0
2019-10-01,7,0.14285714285714285,0.0,0.14285714285714285,0.0
2019-11-01,7,0.14285714285714285,0.0,0.14285714285714285,0.0
2019-12-01,12,0.08333333333333333,0.0,0.16666666666666666,0.0
2020-01-01,16,0.0,0.0,0.0,0.0
2020-02-01,13,0.15384615384615385,0.0,0.0,0.0
2020-03-01,21,0.047619047619047616,0.0,0.09523809523809523,0.0
2020-04-01,28,0.07142857142857142,0.03571428571428571,0.10714285714285714,0.0
2020-05-01,33,0.0,0.0,0.0,0.06060606060606061
2020-06-01,27,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0
2020-07-01,28,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
2020-08-01,18,0.16666666666666666,0.0,0.05555555555555555,0.0
2020-09-01,27,0.0,0.0,0.037037037037037035,0.07407407407407407
2020-10-01,18,0.05555555555555555,0.0,0.0,0.05555555555555555
2020-11-01,21,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616
2020-12-01,13,0.0,0.07692307692307693,0.0,0.3076923076923077
2021-01-01,12,0.16666666666666666,0.0,0.08333333333333333,0.0
2021-02-01,15,0.06666666666666667,0.06666666666666667,0.0,0.0
2021-03-01,16,0.125,0.0,0.0625,0.0625
2021-04-01,17,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
2021-05-01,19,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842
2021-06-01,21,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616
2021-07-01,20,0.05,0.05,0.1,0.0
2021-08-01,19,0.15789473684210525,0.0,0.10526315789473684,0.05263157894736842
2021-09-01,31,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.0
2021-10-01,137,0.0948905109489051,0.0,0.06569343065693431,0.0
2021-11-01,48,0.0625,0.0625,0.16666666666666666,0.020833333333333332
2021-12-01,38,0.10526315789473684,0.0,0.07894736842105263,0.02631578947368421
2022-01-01,57,0.07017543859649122,0.0,0.03508771929824561,0.03508771929824561
2022-02-01,64,0.0625,0.03125,0.109375,0.015625
2022-03-01,70,0.04285714285714286,0.014285714285714285,0.0,0.05714285714285714
2022-04-01,54,0.09259259259259259,0.018518518518518517,0.018518518518518517,0.037037037037037035
2022-05-01,54,0.1111111111111111,0.037037037037037035,0.05555555555555555,0.05555555555555555
2022-06-01,43,0.046511627906976744,0.0,0.0,0.046511627906976744
2022-07-01,82,0.036585365853658534,0.012195121951219513,0.07317073170731707,0.0
2022-08-01,65,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077
2022-09-01,133,0.03007518796992481,0.05263157894736842,0.015037593984962405,0.022556390977443608
2022-10-01,64,0.109375,0.015625,0.03125,0.0
2022-11-01,39,0.15384615384615385,0.0,0.07692307692307693,0.0
2022-12-01,95,0.05263157894736842,0.09473684210526316,0.042105263157894736,0.0
2023-01-01,41,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.0
2023-02-01,35,0.0,0.02857142857142857,0.08571428571428572,0.0
2023-03-01,113,0.02654867256637168,0.008849557522123894,0.035398230088495575,0.017699115044247787
2023-04-01,66,0.06060606060606061,0.0,0.045454545454545456,0.06060606060606061
2023-05-01,60,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.0
2023-06-01,53,0.03773584905660377,0.03773584905660377,0.05660377358490566,0.0
2023-07-01,60,0.05,0.016666666666666666,0.06666666666666667,0.03333333333333333
2023-08-01,67,0.07462686567164178,0.05970149253731343,0.029850746268656716,0.014925373134328358
2023-09-01,68,0.029411764705882353,0.0,0.04411764705882353,0.014705882352941176
2023-10-01,47,0.0425531914893617,0.0,0.0,0.0
2023-11-01,52,0.038461538461538464,0.0,0.057692307692307696,0.11538461538461539
2023-12-01,63,0.07936507936507936,0.015873015873015872,0.031746031746031744,0.047619047619047616
2024-01-01,69,0.08695652173913043,0.0,0.028985507246376812,0.028985507246376812
2024-02-01,74,0.0945945945945946,0.013513513513513514,0.06756756756756757,0.013513513513513514
2024-03-01,77,0.06493506493506493,0.012987012987012988,0.025974025974025976,0.0
2024-04-01,94,0.06382978723404255,0.05319148936170213,0.10638297872340426,0.0
2024-05-01,96,0.020833333333333332,0.03125,0.041666666666666664,0.010416666666666666
2024-06-01,81,0.07407407407407407,0.024691358024691357,0.037037037037037035,0.012345679012345678
2024-07-01,83,0.07228915662650602,0.024096385542168676,0.060240963855421686,0.0
2024-08-01,103,0.038834951456310676,0.05825242718446602,0.04854368932038835,0.0
2024-09-01,86,0.09302325581395349,0.011627906976744186,0.05813953488372093,0.0
2024-10-01,87,0.04597701149425287,0.022988505747126436,0.04597701149425287,0.022988505747126436
2024-11-01,80,0.1375,0.0,0.075,0.0125
2024-12-01,95,0.042105263157894736,0.021052631578947368,0.07368421052631578,0.010526315789473684
2025-01-01,102,0.049019607843137254,0.0392156862745098,0.058823529411764705,0.00980392156862745
2025-02-01,85,0.023529411764705882,0.011764705882352941,0.047058823529411764,0.023529411764705882
2025-03-01,82,0.06097560975609756,0.0,0.08536585365853659,0.012195121951219513
2025-04-01,201,0.07960199004975124,0.024875621890547265,0.1044776119402985,0.009950248756218905
2025-05-01,82,0.07317073170731707,0.036585365853658534,0.04878048780487805,0.012195121951219513
2025-06-01,99,0.050505050505050504,0.0,0.04040404040404041,0.030303030303030304
2025-07-01,145,0.07586206896551724,0.013793103448275862,0.07586206896551724,0.020689655172413793
2025-08-01,90,0.05555555555555555,0.022222222222222223,0.05555555555555555,0.0
2025-09-01,95,0.021052631578947368,0.0,0.06315789473684211,0.010526315789473684
2025-10-01,186,0.08602150537634409,0.016129032258064516,0.053763440860215055,0.005376344086021506
2025-11-01,107,0.056074766355140186,0.018691588785046728,0.07476635514018691,0.009345794392523364
2025-12-01,238,0.10084033613445378,0.008403361344537815,0.04201680672268908,0.008403361344537815
2026-01-01,199,0.11055276381909548,0.010050251256281407,0.03015075376884422,0.010050251256281407
2026-02-01,86,0.12790697674418605,0.023255813953488372,0.06976744186046512,0.023255813953488372
