,uncontrolled_symptoms,airway_fear,treatment_failure,medication_side_effect_fear,trigger_uncertainty,emotional_distress,sleep_daily_impairment,access_cost_barrier,diagnostic_confusion,misinformation_vulnerability
uncontrolled_symptoms,536.0,79.0,27.0,76.0,52.0,81.0,109.0,17.0,28.0,8.0
airway_fear,79.0,354.0,13.0,32.0,21.0,49.0,76.0,10.0,18.0,6.0
treatment_failure,27.0,13.0,113.0,18.0,10.0,12.0,25.0,4.0,7.0,2.0
medication_side_effect_fear,76.0,32.0,18.0,234.0,22.0,31.0,63.0,10.0,13.0,5.0
trigger_uncertainty,52.0,21.0,10.0,22.0,246.0,42.0,44.0,4.0,20.0,13.0
emotional_distress,81.0,49.0,12.0,31.0,42.0,290.0,56.0,5.0,18.0,6.0
sleep_daily_impairment,109.0,76.0,25.0,63.0,44.0,56.0,533.0,12.0,23.0,11.0
access_cost_barrier,17.0,10.0,4.0,10.0,4.0,5.0,12.0,59.0,7.0,3.0
diagnostic_confusion,28.0,18.0,7.0,13.0,20.0,18.0,23.0,7.0,118.0,14.0
misinformation_vulnerability,8.0,6.0,2.0,5.0,13.0,6.0,11.0,3.0,14.0,113.0
